,Reviews
162,I can't speak on the food all i know is the late night employees will never serve u breakfast around 3 am i wish someone would fire them!!
163,"My goodness.  I understand that most Burger Kings are terrible, but this one is absolutely horrendous!  All the workers looked like they were dressed to bee in the thriller video, a worker came in and finished getting dressed for work right there in the dining room while the manager put her personal cell phone conversation on hold to YELL loudly at her.  Everyone looked like they were high or recovering addicts. The dining room was so disgusting, we had to just throw our food and flat drinks away. Never again will I eat at that freak show!"
164,"This is definitely the dirtiest restaurant I've been to in ages, I'm almost certain that it's been at least 3 days since anything was cleaned (I mean everything table floor even the windows are really dirty) and the bathroom (men's atleast) has no tp or paper towels. this place doesn't have real ljs food, no fries and the fish and chicken don't match it at all. On top of all of this they were out of BBQ and tartar sauce. Lady up front was bitching about being here at 800 after leaving @ 2:00 last night. I can't see any reason to be here that early because literally nothing is cleaned. My mom got a Dr pepper and said it didn't taste right so she asked the lady behind the counter and she said that we ran out last night. Does this place not use out of order signs? Atleast a heads up would have been nice. Worker finally leaves to do something *refills straws* and goes back behind the counter and talks to some guy. Wow."
165,"Went inside to get take out, less than friendly greeting, long wait, and how do you run out of tarter sauce before 5pm! No apologies, no thank you no repeat business. The one star is very generous."
166,They had a Taco Pizza on the menu so I ordered it and was told they actually don't ha e that pizza.  Well...why is it on the menu?  Geez...
167,I would rate this no stars if I could.  Order was missing items and wrong.  Was told it would be replaced but after waiting 1 hour with no word we called to check.  Was told by very rude manager Daryll that it was not going to be replaced and no refund would be goven unless we returned the wrong items.  Such poor customer service its hard to believe.  We use this location often and have had a few errors but never anything like this.  Please think twice before using this location.
168,Absolute worst McDonalds in America. How do I walk in on a Friday night at 6 pm and they say we don't have any fries. It's probably the busiest time of the day. Then I finally get my order 15 minutes later and it's wrong. Not to mention the fries are spilled everywhere with about 2 in the fry container
169,"This Mcdonald's sucks. The workers forgot our hashbrowns, couldn't make oatmeal decently, and couldnt even fill the coffee cups all the way. These clowns want $15 an hour but aren't worth their pay."
170,"2/2 visits they've been out of chicken. 

Terrible food quality. Terrible service. 

I can't even comprehend how this is tolerated in such a well known, successful company and brand."
171,"Went there on Wednesday at 7:47pm.  There were four people in line.  At 8:13pm, the manager declares that there are no more chicken sandwiches even though there are still 3 people in front of me and 2 people behind me.  How can you run out of chicken?"
172,"My husband and I dined here on Thursday evening, it was late near 10 pm when I picked up my food through drive through. The chicken was dried out in the Famous Bowl and it was very sloppy, potatoes coming out of the sides and gravy in the bag. The chicken little was so hard I could not even bite it and the two chicken breast I ordered were also dried out. I tried to call the restaurant but nobody every answers the phone. My advice is I would not eat at this location late, the food is close to being tossed out and apparently they still serve it to guests."
173,"This is not only the worst taco bell I've ever been to, it's the worst fast food spot i've ever been to period. The staff is awful, I had an employee SNAP at me once for asking if she could hear me in the drive thru. Awful attitudes. The food is ALWAYS cold and takes foreverrrr to get, and they always forget at least one thing in my order. Never go here."
174,If I could I would give this location negative stars. We we called and told our food was on its way. 45 minutes later we called to inquire why it had not been delivered. After talking to 3 people we supposedly got a manager named Alex. He told us he was short handed and the guarantee of hot food did not apply to them. This was the third time we gave them a chance and received cold pizza for the third  time. This place should be closed. The employees are incredibly rude including the manager. We will never give them our business again. I can't believe they are still open. Worst customer service I have ever come in contact with. I hope the corporate office sees this and we receive a surprise HOT pizza like the commercial. This food is not even edible.
175,"Can you  believe that I have gone to this store twice in two weeks.  Last was Sunday  a.m. before  going to church and when I paid,  they don't  have change. That they asked me  was it ok.  They short me 1st time four cent. This Sunday it was nine cent. When I said no! The cashier  got offened and walked away. Mgr came to register  aggressive  and said here's your  5.00 back. You don't have to come here again.  On top of that, it was a female worker with red hair eating a sandwich at the  counter while on her sell phone.  Totally  ghetto  staff"
176,"Wow, I wish I didn't turned in here to pick up food. Sitting in the drive thru for 20 minutes just waiting for my order but too scared to honk cuz I don't want my food to be spat on."
177,"Went to just get an MCCHICKEN WITH ONLY CHEESE N GOT EVERYTHING ON IT THIS MY THIRD TIME COMING bk within an hour,bring it back and the cooks n manager got attitudes like why get mad at me fa wat yall did wrong just bad service and people tht cant read english well,thy need not b fixing food #justsad#needtofixthat# AND DIDNT GET A FREE PIE OR ANYTHING 
#gtfoh# HOW CAN U MESS UP A PLAIN SANDWICH?HOW?"
178,"The worst place to eat EVER!!! I ordered food & they took the money out of my account and NEVER delivered it. When I called them they told me I  should get the food in an hour & 2hrs later I called and they blamed it on traffic. They lied and told me it was on the way & I should have it in 30mins, and hour later I called and the customer service was horrible. They just picked up the phone yelling telling me I was gonna get my money back... and hung up the phone in my face. I never got to say one word to them during the call before they hung up... it took me 48 hours & contacting my bank to get my refund... I will NEVER EVER make the mistake of giving my business to this horrible place, even if it was the last place on earth...I'd rather starve"
179,Worst McDonald's ever!! They take forever and are rude. I never write reviews so you know a sis really not about it! They all need a whole new staff training because they suck
180,"Cars. parked all over sidewalk,  young people hanging around outside smoking blocking entrance, very uninviting. I can see why the previous rating was bad because it seems it is more of a hangout than a place preparing good food."
181,"Do NOT go to this KFC!  Zero quality.  I've attempted to pay the additional price for white meat over the thighs twice and they did not fill the order.  When you go inside to get it corrected, they look at you like they can't comprehend what you're saying and tell you that you have to call the 800 number.  Today I opened my order to find they've forgotten the gravy."
182,Shoutout to these people who want $14 an hour but can't put any sauce in my 20 piece nuggets! Even though we asked to make sure they were in it. They aren't. Sad.
183,"Bring a chair cos you'll be waiting for 15 min or more to get your food. Breakfast sandwich, good luck. Might as well go to Dunkin donuts up the street or just wait for a while."
184,"This place deserves ZERO stars. Order was placed on Grubhub at 6:30pm, called the restaurant at 8:30pm and was told that our order is coming, they are running behind;"" The order status was changed to ""delivered"" at 9:30pm when it was NEVER delivered. We contacted Grubhub and they called the restaurant from another line, the restaurant blatantly lied and said the food was delivered. DO NOT TRUST THIS SCAM of a restaurant. Will not order from this place again."
185,The chicken is good but they will cheat you; I got 2 drumstick wings instead of 2 chicken legs in my 12 piece bucket.  I'm done because they don't answer their phone and it was an obvious attempt to deceive.
186,"This is the slowest place ever! You can't even consider it fast food at the rate they serve it. 

That being said it's an average McDonald's in terms of quality it's fine."
187,"Made an order on Grubhub October 2, 2018 since they were the only ones listed who would deliver through the service. After two hours of not receiving my order, I tried calling the number listed. I called thirteen times and I was either hung up on or no one ever answered. I finally called Grubhub to confirm the number (it was right). She miraculously got in touch with someone and told me they were really busy and my order was running late. No big deal, just wish someone had relayed that info to me. On the third hour, after trying to call that number and being hung up on or not answered AGAIN, I called Grubhub and cancelled my order and told them my issue. I'll never try this place. I understand busy, but you can have the courteous to call your customers and let them know. And I wish I had read all the reviews of food never showing up before I placed my order. Terrible business."
188,They aren't following covid guidelines and safety precautions. Barely anyone was wearing a mask. Rude staff who refused to be helpful. I asked for a refund because the young lady handling my order had her mask around her chin the entire time and wasn't wearing gloves when touching my food. No gloves and no hand washing touching fries as she put them in the bag. The cashier was also not wearing a mask.
189,"This place is the worst McDonalds in the world. I know that sounds hard but this place is run by total morons, it is disgustingly dirty, the wait times are atrocious and the food (which should be exactly the same as any other McDonalds) is untasty and tossed in the bag like it was made by mentally deranged criminals."
190,"I'm a DoorDash driver, I recently got a job to pick up an order for a customer at this location. I waited 30 minutes to just pick up apple slices and a 10 piece McNuggets meal. People came in after me and got their orders quicker, and they were much bigger.  I didn't even have to eat here to know the experience of just being here is so terrible"
191,This place is nasty & the employees are lazy. They don't have napkins out in the lobby & the lobby is dirty.
192,Order a cheesy bread stick online and it said to be ready at 12:55-1:00 when I got there it still wasn't done and had to wait another 15 mins for it and when I recieved it there were barely any Italian season on it and my breadsticks did not look appealing at all. Had to be the worst Italian cheesy bread stick I had..will not be goin back to this location for it.
193,"Ordered a pizza. Called the store 30 minutes after the estimated delivery time for the pizza. The person who answered the phone said they couldn't provide me with any timeframe for when the pizza should be here, except that it would be ASAP. Again, mentioned the time given for ""ASAP"" passed 30 minutes ago. Got the pizza 45 minutes after the estimated delivery and the slices were cut completely all over the place."
194,"I'm at Pizza Hut and there is nobody attending me and i had to wait 15 min for someone to come and attend me and they finally did cause I had to come to where they cook to tell them I'm waiting, but the girl was on her phone and doing nothing and when she came she had a big attitude."
195,"If I could this place negative stars I would! I order food and an hour later these incompetent people called me back saying they were closed and weren't delivering my food anymore. First they tried to say they were on the way and couldn't find my address although it was only 2 blocks away from their location, then when I explain to them where my address was they come up with a new story about how they are tired and they don't feel like delivering my food. (It was. Nowhere near closing time) Do not order from here !!!!! These people are rude and racist."
196,"WORST SERVICE EVER!!!! Waited in the drive thru at least 30 mins just to place my order, the manager that took the order ABSOLUTELY HATES HIS JOB!!!! All attitude. Finally get to the window after another 15 mins, food is STILL not ready, there are uber eats and/or door dash guys standing outside the drive thru window waiting for food, note I said STANDING outside of the window, which is a safety hazard. There was no control over what was going on. The manager again with the attuitude, when asked for my receipt, he gave me the wrong one with more attitude, finally after waiting another 10 -12 minutes I get my food which was a happy meal with cold fries. Absoutely avoid this Mc Donalds if at all possible."
197,"DO NOT ORDER FROM HERE !!!!
I am not kidding when i say these people are lazy. It could be 8pm and just to not serve milkshakes or Mc floris they will tell you their machine is broken. THEY ARE LIARS because during the day they serve them but any time after 8 it's ""broken"" ? Not only that but they constantly get orders wrong and I've been inside and it's completely disgusting.."
198,"Not to add to the bad reviews, but they really pissed me off and thankfully Eat24 was able to cancel my order in time 

Order two pizzas and a salad for the guys who helped me move into my house. I told them not to worry about lunch, it was on me annnnnd apparently not. I put an order in about an hour and half before hand. Set it to have it delivered by 230, ok everything seemed fine. An hour goes by I want to check on the order and it told me it was ""pending"" ok, fine. I tried to call the restaurant multiple times and no answer. As 2pm was approaching, I saw my order was still ""pending"" I got nervous, called Eat 24 and asked if they can get a hold of them  They tried to call the restaurant for me with no luck and cancelled my order. I then read all the horrible reviews and it all made sense! Wish I read them before I placed an order.   I don't understand how this place is still open! Horrible customer service and communication! Never ordering from them! Save yourself the headache and the 1Star experience and order from someone else with a better reputation."
199,"I wish I could give this location zero stars.  If I were the owner of this KFC I would be appalled and embarrassed to be associated with it.  This must be a case of the owner living out of town and not caring AT ALL.  We were there on a Sunday morning 30 minutes after they opened for the day.  It was FILTHY.  There is a rolling trash container by the counter and from our table I could see underneath it and it was unswept and littered with old debris. It is on WHEELS and had clearly never been rolled away to be swept under.  Same with the beverage area.  Underneath it, clearly visible from our table, it was dirty and littered with old debris.  The floors around other tables were also filthy with crumbs and debris. The first table we sat down to was sticky  and we had to move.  They been opened for 30 minutes and it was empty when we arrived. So this was clearly left over from not only the day before, but by the looks of everything, MANY days before.  I should have looked at the reviews before we went in, but we were getting our tires rotated next door, so it seemed a convenient place for a fast lunch.  Now I am worried I will get sick from what is clearly an utter disregard for basic cleanliness.  Please don't eat here.  Why neither the owners nor the management seem to care about the state of this place, I can't comprehend.  But if the dining room looks this bad when you are the first people in when they open for the morning, imagine what the food prep area must look like.  No one cares here.  We will never be back and will tell everyone we know in this area no give this filthy place a HARD PASS.  Owner, please take some pride and take control."
200,"Stopped in this place for a Happy Meal on 05/16/2019. 

I can't believe this is an actual McDonald's! At first I thought that it must be a knock off one like the one in that movie, ""Coming to America"" w Eddie Murphy from way back. ""McDowell's"" or something like that it was called in the movie. At least the one in the movie was clean. This one, it's absolutely the worst one that I've ever been in or even heard about!! Exceptionally dirty! Were those bug zappers on the walls? It's attached to a filthy,  blown out BP gas station. I. Just. Couldn't. Believe. This. Place. 

McDonald's Corporate, what do they have on y'all that you can't shut these guys down? Seriously, it truly shocks me that the City Health Department hasn't closed this place down. During the 20 minutes that we waited for our food we looked and looked for a Food Safety Rating but couldn't find one. 

Stay. The. Heck. Away."
201,Absolute slowest service ever. Waited in the drive thru for 20 minutes for a happy meal and the order wasn't even right. If the inside is going to be closed at least have enough help to keep a drive thru moving. SMH
202,"Racist...we were treated horribly. Absolutely horrible. Do not eat here. The owner was not nice at all-he looked mortified when we walked in but we just assumed he had a busy day. We were wrong. He didn't even want to take the order... He literally stared at us, took a doop breath, and reluctantly wrote what we wanted. We should have left but we didn't-bad judgement. We paid and waited...half our order was wrong. Then we got it correct but it was half done. The chicken fingers were not done in the middle and the cheeseteak had hardly any meat-& i paid for extra meat. We asked to use the restroom to wash our hands and we were told there was no restroom available. Then a younger Caucasian woman walks in, asks to use the restroom without buying anything, and is immediately taken to the restroom. We left at that point. It's sad because it is a great location but disappointing because the last thing you expect coming into that establishment is racism...."
203,"My family and I always order double pepperoni and extra sauce for one pizza and donair for the other, most often we get the pizza from this location but when we do there's  close to one pepperoni per slice the donair pizza looked like it had two pieces of meat on the entire thing. 
It's almost like the person responsible for doing this thinks if they add the toppings the customer asks and pays for that it will be a bad thing, perhaps they think each additional topping will be deducted from their pay??? I don't know why they constantly do that but I would like to start receiving the pizza we ask for and not what some cheap half wit pizza maker thinks is what I want. Definitely do not recommend this location until they learn to listen and act."
204,I wish I can give this place 0 stars 99% of the workers there look like they need to go to rehab and act like your there asking for free food they need to fire everyone there disgusting attitudes  an horrible service
205,"Horrible. I ordered at 8:30 and after it being over 45 minutes, I called and they said it was on it's way. I called again after 60 minutes late, and they said it never went out even though they had received the order at  8:30. Got a full refund through Grubhub. Hate this place, don't order."
206,"In the words of my 16 year old daughter...""ew"".  To call it gross would be offense to grossness.  The employees stare at you like they're ready to fight.  Apparently they're paid by the number of words spoken as they do more stating than interacting.  The food was fine which is factored into the rating of 1.  Here's the worst part.  I foolishly decided to use the restroom.  Apparently something died in there...2 years ago...is still decomposing...creating smells I didn't know were possible.  Apparently 9 of 10 patrons (or as I suspect employees) miss the toilet.  The bathroom door doesn't lock.  There are no paper towels or functional dryer.  The soap dispenser was apparently torn down in the late 70's.   Ew."
207,"They take doordash orders, in person orders and phone orders, with one cashier, if you want food from here be ready to wait 30-45 mins."
208,Worst pizza hut ever this is my second bad experience there never again my chicken was raw.
209,"This is the worse Pizza Hut ever. Manager Melinda Ridley was rude as fuck after they said they attempted delivery at my house, but really never showed up. I've given these guys way too many chances. They aren't aren't burning our pizzas, they aren't delivering on time or not delivering at all. I'm not stopping here, I will be calling corporate on this location"
210,"Since I have to rate it one star for the win...... first off, I contacted McDonald's about this place and haven't heard back at all. This particular store has no identifying manager so I'll say it's self run by the employees and it needs a manager badly, the staff is rude, the food gave me a trouble stomach bug for dayssss and I mean days!, hygiene needs to be a serious priority at this establishment as well as customer service , safety sanitation, work ethic."
211,"Well to start off... delivery service is horrible. Waited 1 hour and half for our meal and they are 6 blocks away. I know I could have picked it up but was chilling watching football.  After all that wait the Stromboli was mediocre. Plain chicken Stromboli, no onions, peppers. Was just warm... the fries were hot.  Won't be ordering here anymore."
212,"This Taco Bell is a disaster. You're better off fishing for your food in the river. I'm not sure what they gave me at the drive thru - I ordered soft tacos, but instead received stale soft taco shells full of disappointment - or rather, hardly full of anything. There was hardly anything in the tacos! I'm not even sure they were tacos either, whatever was in there certainly didn't smell like taco meat. I mean, it's Taco Bell and the food is cheap so I didn't bother turning around and going back to complain about it (I took one brave and expectedly regretful bite and threw it away) but it's definitely a far cry from your typical Taco Bell fare. I wouldn't visit here again unless I had a craving for sadness and regret."
213,This has to be the worst McDonald's ever. The people who work here don't ven know what they are doing and they look at you like you came from another world. I have nothing against new people in training but if you are in busy hours just have people that are already trained at the counter. I waited 50 minutes for two hamburgers. Incredible. Not coming back to this location.
214,This location should be shut down by the health department.  Raw greasy chicken.  Nasty staff (attitudes).
215,It's a shame because there wings are the best in my opinion in the area and they have good cheesesteaks. My problem is they always take 2 hours to deliver my food. 2 hours. I can understand one but c mon. This has happened three times already and I'm really tired of it
216,I order delivery from this location now less and less     When I have ordered the last few times I have not received my gift cards or movie passes. My delivery last night included a steak Caesar where they threw the meat on the salad and then the dressing and croutons on top of it making the dressing slimy to hold and also how is this food safe?? I will let you judge by the picture if you would want to eat this.
217,Placed order and at 8:50 pm they called and said order is being delivered. At 9:30 pm I called 10 times finally getting through explaining that I will not except another cold pizza from this location. The store manager indicated he's under staff and if we want a hot pizza we would have to drive to his store and the insurance as advertised doesn't apply to his store. Pizza arrived at 9:45pm.
218,One word: slow. They move at a turtle pace here. I'm not even sure customer service is in their dictionary.
219,"Very poor service, and I mean poor. You'd except with the location, the service would be near excellent, but the effort is lacking. And I agree with the review below; it's not the once-in-a-while mess up, but it's the frequency that it happens that gets me."
220,"If you know what is good for you, you will avoid this place like the plague. A late night craving for junk food brought me to the drive through where I found a long backed up line of cars that wasn't moving because staff inside decided that they didn't feel like taking orders. They made excuses like ""we're doing a shift change"" and that the ""headset was broken"" (then how are you communicating with me through the speaker?). After at least 15 minutes the relented and finally took the order. While waiting for the order we watched the person working in the drive through window open the window and scream at a person passing by ""I'm going to f*****g kill you!"" which left us absolutely stunned. We waited nearly 20 more minutes for the food, and when the order finally came out it was, of course, wrong. The employees only yelled at us and refused to fix it, so we just left and complained to McDonalds. The manager's mediocre response was, ""I'm sorry you feel we have let you down."" McDonalds corporate should shut this place down."
221,"This McDonald's is the worst restaurant on earth. I've never seen such disrespect , ignorant , non courteous people. Did I mention it's a haven for drug dealers and addicts alike . Even the employees are copping drugs . The neighborhood could be better if this place closed."
222,"Hands down, the filthiest place I've ever been in. We were there for coffee and the drink area was coated with spilled drink on the counters and discarded trash. After 10 minutes, a girl came out, presumably on her break, to fill her drink and just took a napkin and wiped it down. Nothing to clean or sanitize it."
223,If I could give it zero stars I would. They never get the order right and right when you pull up they always ask you what you got and they be acting like they don't believe you lol so they ask for the receipt! Then all my fries were all over the bag... then the ice cream machine is always down or broke I'm sick of it !!! Lol
224,"UPDATE: I added a screenshot of the owner calling my order fake. This is how he treat his customers. Don't order from here unless you want to be treated like shit. ------- 
So I ordered by phone 2 hours ago and I'm STILL waiting for my food. I thought it would've been a fast delivery since we're only 8 blocks away. I called an hour ago and he told us our food was on the way. It's a 9 minute drive and he's telling us the food the food was on the way an hour ago?! This is ridiculous. The worst delivery I've ever had."
225,"I haven't been to this spot since it was Georges Pizza so I wanted to give the new ownership a try. The cheesesteak and fries were good and the cook who may have also been the owner or manager was the only professional person in there. There was two other workers behind the counter who look like they might've been in there early to mid twenties. And they were cursing from the time I ordered to the time I got my food. One was a female working the register and the other was a male basically just standing around but he did answer the phone a couple times. The female wasn't that bad but every other word out the males mouth was profanity. Sadly the cook didn't bother to stop them. 

I may order from there again but I definitely won't be stepping foot into that place.

Yes we're in the hood but come on...this is a business!"
226,"This place is so slow and they always get the order wrong like Jesus, and they'll have 10 workers, it feels like hours"
227,"Come to this location too much NOT to 
Receive customer service I never get 
Napkins with my order yesterday I had 
To wait like 5 minutes for my order so I
Decided to add a item .. .but nooooooo
They told me to go to the back of the line
And start over I told the manager she definitely 
Was taking her job way to serious ..."
228,They make you wait even though no one is in line.. then you order. And wait ridiculous amount of time for your not even apologizing for it. That's for starters.  The only thing that was hot was the cheese sticks  fries chicken poppers were not hot. But I guess that's to be expected
229,Got in drive through line at 9:35 pm (store closes at 10pm). Two cars were in front of me waiting to order. By the time I reached the intercom to place my order it is 9:50 I am told Long John Silver's is no longer taking orders because it's almost time for them to close. If a sign advertises a specific time food should be served and orders placed up UNTIL that time.....
230,"This McDonalds used to be one of the best in Philadelphia, but has seriously gone down hill. The manager JoAnne actually wanted to charge me for ice that I put in my own cup. (As an FYI I usually have Ice in my INSULATED cup but I hadn't filled it up and just fill the cup I get from them with tea to put in it) 

This isn't a problem at the two McDonalds in South Philly or any other McDonalds that I've been to. So I didn't expect it to be an issue here, especially since I've frequented it often for the past 25 years."
231,I ordered online for the free whopper with a CH'King sandwich. Never received the whopper. Can't refund and redo an online order and store workers will tell you to take it or leave it. The the Spicy CH'King Deluxe I supposedly ordered was to come with lettuce tomato and sauce. I paid to add cheese and onion. Instead I received the plain sandwich that is $.60 cheaper without the lettuce and tomato and it instead it had pickles on it.  Additionally I ordered the large combo and it had the small fries which I did notice before I left and I received the how dare you question us looks before they eventually replaced with a half empty large container. Just to add to the humor of it all it appeared they must of ran of napkins at the drive in and were grabbing them out of the dispenser so I received a bundle of packing material at the top of my bag. Never go here. Very apathetic workforce. They absolutely do not care.
232,My family and I have ordered from this location several times just to give them the benefit of the doubt. I know that no one is perfect and that places are busy. But EVERY single time food has been ordered for delivery it takes well over the estimated delivery time. I will say though that the food is always hot. My suggestion is not ordering delivery from this location and just pick it up.
233,"I ordered online for the fishers location, when I went to pick up they seemed confused and then started getting my order together. I was given the wrong kind of chicken and wrong sauces. When I got home I realized the fries were soggy and the chicken was inedible. The breading was wet and the chicken was tough. The biscuits were raw on the inside. This was the worst fast food I have ever had."
234,"Chaos. Things seem to happen accidentally if at all. Still, it's a McDonald's and there is some sameness imposed by the structure of the franchise."
235,"Once again sadly proof that some people don't deserve a livable minimum wage. Order a Big Mac, specified NO lettuce twice. Get the burger - covered with lettuce with ALL the sauce mixed in. Brain dead."
236,"Yo, I ordered ONE thing. Grilled chicken sandwich no mayo. The guy hands it out and says that there's NO MAYO. Guess what, there's fucking mayo on it. Called the store twice because I don't have time to go back up there and get a new one, no answer. This place is pathetic lmao."
237,Horrible is an understatement. Called for delivery and told them I'm paying with debit. After waiting for 1 hour and 15 minutes the guy is here with no debit machine. He said he will be back so I waited in the lobby for 15 minutes and he didn't show up so I went back upstairs to my apartment. I open my order and realize it's Hawaiian pizza and I don't eat pork. Anyways the driver calls me after an hour (3:00am) when I was sleeping hungry!
238,"DONT NOT PAY WITH DEBT/CREDIT CARD !!! 

This location has someone who hacks debt/credit cards and then will go next door to the gas station and charge it to your card. I thought I got the situation taken care of the first time they charged $75 to my account but the bastard still has my account number and is now making more charges. I will find you ya scum !"
239,By far today was the worst experience ever I had to get my entire order corrected I guess they didn't feel like given out eggs and cheese today because none of my sandwiches had it on there
240,"***ROACHES*** ***Infestation***
I sat down to eat my plain cheeseburger they added everything but the meat paddy! I returned it. It was not busy but took them 7 minutes at a fast food restaurant. 

When I sat down I looked at my partner and I saw next to her a Roach in the corner booth. I saw a roach and told her. She jumped back. I looked back in disgust. Never have I ever dined with bugs sitting next to me! 
When I looked over to my right there were roaches swarming the corner around the leather. (Going in and out this is disgusting!) Action needs to be taken"
241,"Since Shenaniganz/Porky's/Ocean 41 burned down, Oasis takes the crown as the worst bar in Apollo Beach.  Loud, cheap, scummy - a dive bar without the appeal of a divey place.  Always fun to see the parking lot on Sunday morning there, and just how many Bud Light bottles are left everywhere.

The DJ only plays butt rock, so if you're a fan of late 90's Limp Bizkit, you've got a new place.  Although if that's your favorite type of music, you most likely already work at Oasis."
242,Everytime i go to this McDonald's they give me the order wrong  make sure yall check before leaving and then they make a face when you tell them.....wouldn't come here anymore
243,"This review is more for the owner of this location, not the quality of the food or service, because neither was provided.  But I did try.  As you will see below, the employee working the drive through could not even be bothered to answer the intercom, so I drove away.  I would also recommend that everyone else do the same until this place hires employees that actually want to be there, work, and wait for it....be pleasant.  What a concept, huh?  And again to the owner of this location-if you are wondering why you only have an average 2 star rating,  I am going to do you a solid-no charge.  Have you ever been served anywhere, by any type of business, and been serviced by an apathetic employee?  You know the ones I'm  talking about, they hang their head, have a look of disgust on their face, move slower than a snail, and overall act like the customer is annoying them.  And then they think they deserve $15/hr for just showing up for work even though in my experience they screw up the order at least half the time? Let me tell you what everyone else already knows-they are not worth minimum wage let alone $15 hr.  If you know what I am talking about, then you might want to know you have a young girl working the drive through, at least she was tonight (10.6.18 at approx 6:30pm).  Although I have been to this location many times in the past (no more though, this was my last time), it is normally to dine in and not drive through.  This time I decided to use the drive through to save time, but after sitting at the order station for 5 minutes, asking multiple times if anyone was there, AND with at least 6 cars in line behind me and not wanting to be perceived as the hold up, I decided to just to drive away and go to Chic-fil-a because the food and service is impeccable, they are just a little further away.  I dont know if any of the people behind me drove away also, but as I drove past the girl manning the drive through window, she gave me the disgusted look, even though she never even said one word to me while I sat there all that time asking to be served.  Probably just as well, the gall of me actually expecting to be served, could very well have resulted in her splitting in my food.   And to be honest, there is a Mikey Dees right next door to the Chick-fil-a down the road, which by the way has much better food for the same price, and I have never had these issues with this other McDonald's employees. I guess the moral of this story is that there is a reason why some businesses get 2 star reviews and others get 4 or 5 star reviews-most of the time it centers around how the employee treats the customer.  In my case, I drove to the Mickey Dees that was a minute closer to me, I will definitely NOT make that mistake again.  For those of you thinking of going to this Mcdonalds, you have been warned."
244,Definitely agree with all the other reviews! Especially the zero stars! Went through drive thru at 10:05 pm closing was at 10:30 we ordered steak soft taco and an order of nachos then sat waiting to get to the window until 10:25 when the guy told us they were closing and do not have any nacho cheese! Really why would you wait until I get to the window to tell me this! Then waited another 10 min for the steak soft taco. Drove off and realized it was wrong! The manager told me she only had 2 workers. That is not my problem! Would go out of my way to go to another Taco Bell that has better service!
245,"This place blows, staff is moronic and every order is extremely delayed & screwed up."
246,"A dump would be too nice of a descriptor for this place. Its located in a toilet bowl town so it's no surprise that the citizens and the service you receive are crap. Went in today and tried to order breakfast. 3 hotcakes and a sausage is all I asked for...I was told this verbatim.. ""oh we dont have any hotcakes"", a few seconds later ""oh we have hotcakes"", a few seconds later ""oh we dont have any hotcakes"" a few second later ""never mind"".  I decided it would be yo my benefit if I  just left. And that's what I did.  After that exchange I knew my food was going to be garbage. The most disappointing part is that ALL of the restaurants in this small vicinity of a toilet bowl (all located on the same street) give the same EXACT SERVICE. I think the water and lead levels should be tested...I'm almost positive there are some chromosomal abnormalities in this state."
247,"This is the absolute worst restaurant I have ever been in. The staff is completely incompetent and they have messed up every order I've seen since I've been here. It took 20 minutes to get our food. If your choice is eating here or starving, consider starving."
248,Stopped her on my lunch break to grab something quick it.wasnt quick the drive thru was so slow and I waited 10 to 15 minutes to get my food . I ordered a minute maid slushy it wasnt even filled up the fries were cold and the chicken nuggets were dried out and rubbery tasting.  I do not recommend stopping at this locations food was horrible and the wait was too long
249,"Worst establishment ever. Our flight was delayed so we decided to come in and have breakfast before we left. While there man hanging a advertisement poster inside dropped a flower vase on the table and it shattered he then told the younger guy at the register that he did not know who broke it. When the manager came out, Maria she looked at us with disgust in her eyes and told the younger man to kick us out. We asked why if you were simply they're having breakfast. She stated that they only allow 30 minute dining and that we had to leave . No one else was dining in. She stated McDonald's does not make the rules she does. When we simply explain that we just wanted to have breakfast because our flight was delayed she stated she did not care that we need to get out. Worst customer service, absolutely no empathy or compassion, that's not the McDonald's values I have always known. Avoid at all cost."
250,Honestly...I just wanted an ice  coffee and what I got was unexplainable. I don't know what it is but it tasted like fake syrup with a tiny bit of coffee mix with orange juice. Terrible! The customer service was terrible as well.  Will never come back here ever again.
251,"Worst McDonald's experience I've ever had. I had ordered a chicken sandwich but got a burger instead. I was in a rush so I just accepted the mistake but half way through I noticed there was mold on the bun!  Also ordered 10 nuggets but only received 7! These idiots can't even count. The staff are UNBELIEVABLY RUDE and slow, even by McDonald's in North Philly standards. Going to cut this review short because I'm pretty sure I have to go vomit now."
252,I used ordered from this dump i ordered a double cheese burger some cookies & fries i threw up all theses items because they were cold & uncooked the cookies were raw & undone they weren't brown & golden they were light & disgusting.
253,"The oxtails, rice and beans had no flavor. I got 3 small oxtails that's dry & a platter full of rice. I asked for extra extra gravy they did not give it to me. The cabbage was good."
254,This place is absolutely horrible. My husband went there for our dinner and upon biting into one of my tacos a bug was in it. I called the manager who told me if I brought the taco up she'd replace it. I replied if you think I'm ever eating there again you're nuts. The manager found it necessary to hang up on me. The original person who answered the phone doesn't even know where she works because she answered the phone with the wrong greeting and business name. If I could give negative stars I totally would. I hope they enjoy a visit from the health department
255,"Three times in a row this location has accepted my app order, took my money made our order and then...nothing. It just sits there and they never deliver it. This last time, after an hour we just went up there. No apologies but they did give us our pizzas...the wrong pizzas. Used to be a frequent customer but no more. I don't know if they have new management or no management at all but save your time and your money and go somewhere else."
256,"Bought a breast meal last week at the drive thru.  Server had an attitude as if doing me a favor.  Got home chicken was very dry, not fresh.  This as been going on too long, has to be because of the location.  Won't be back!"
